Start	End	Direction
379	5589	0
379	6638	0
379	7088	0
379	9094	0
379	10397	0
379	23162	0
379	23204	0
379	27436	0
379	29058	0
379	197131	0
379	245812	0
381	8394	0
381	8853	0
381	23647	0
382	408	0
382	409	0
382	1131	0
382	5337	0
382	8394	0
382	8853	0
382	8943	0
382	9266	0
382	10640	0
382	23396	0
382	23647	0
383	384	0
383	4842	0
387	392	0
387	396	0
387	397	0
387	398	0
387	1609	0
387	2316	0
387	3708	0
387	3737	0
387	3895	0
387	4168	0
387	4659	0
387	4983	0
387	5147	0
387	5335	0
387	5337	0
387	5578	0
387	5585	0
387	5586	0
387	5910	0
387	6093	0
387	6242	0
387	7052	0
387	7204	0
387	7410	0
387	8506	0
387	9181	0
387	9600	0
387	9826	0
387	10256	0
387	10451	0
387	10567	0
387	11214	0
387	23002	0
387	23263	0
387	23365	0
387	23463	0
387	23616	0
387	50619	0
387	50649	0
387	51291	0
387	57522	0
388	398	0
388	5147	0
388	85415	0
389	392	0
389	6242	0
390	6093	0
390	91544	0
391	398	0
391	1793	0
391	3895	0
391	4296	0
391	5337	0
391	7410	0
391	10451	0
391	10788	0
392	663	0
392	998	0
392	5295	0
392	5921	0
392	6714	0
392	7454	0
393	4214	0
393	4893	0
394	3678	0
394	3688	0
394	5921	0
394	64750	0
396	998	0
396	1027	0
396	2237	0
396	3728	0
396	5058	0
396	5879	0
396	5880	0
396	5962	0
396	6457	0
396	6484	0
396	23327	0
397	399	0
397	998	0
397	5879	0
397	5880	0
397	7409	0
397	7430	0
398	399	0
398	998	0
398	5683	0
398	5879	0
399	2664	0
399	3757	0
399	10813	0
399	55791	0
400	2800	0
400	2803	0
401	1387	0
401	1388	0
401	5566	0
401	9464	0
402	5147	0
403	2803	0
403	5147	0
403	6102	0
403	7088	0
403	7157	0
403	7846	0
403	9094	0
403	55791	0
403	197131	0
405	2034	0
405	2963	0
405	3091	0
405	4093	0
405	5371	0
405	6492	0
405	6493	0
405	8648	0
405	9049	0
405	10499	0
405	10728	0
405	23462	0
405	23493	0
405	57491	0
406	1407	0
406	1454	0
406	2034	0
406	3091	0
406	3320	0
406	9575	0
407	826	0
407	1213	0
407	1457	0
407	1856	0
407	5609	0
407	6010	0
407	6039	0
407	6714	0
407	8546	0
407	27232	0
407	84838	0
407	283248	0
408	1213	0
408	1231	0
408	1234	0
408	1445	0
408	1855	0
408	1856	0
408	2268	0
408	3579	0
408	4792	0
408	4905	0
408	4985	0
408	5144	0
408	5744	0
408	5745	0
408	5900	0
408	7201	0
408	9266	0
408	23099	0
408	27232	0
409	554	0
409	4193	0
409	4217	0
409	4922	0
409	4923	0
409	4985	0
409	5021	0
409	5144	0
409	5602	0
409	5900	0
409	6416	0
409	6601	0
409	7200	0
409	8614	0
409	9266	0
409	10114	0
409	112950	0
409	374291	0
415	4692	0
415	10188	0
415	51004	0
416	6625	0
417	5155	0
421	999	0
421	1000	0
421	1013	0
421	55914	0
427	8848	0
427	9869	0
429	650	0
429	4205	0
429	6925	0
430	801	0
430	805	0
430	808	0
432	433	0
432	1719	0
432	3320	0
432	7038	0
432	7184	0
432	29956	0
433	29956	0
434	4157	0
434	4158	0
434	4159	0
434	4160	0
435	5859	0
440	29888	0
444	10345	0
445	2006	0
445	64400	0
445	84164	0
462	2147	0
462	5340	0
462	6383	0
463	22981	0
463	55660	0
466	571	0
466	672	0
466	1385	0
466	1387	0
466	1390	0
466	1457	0
466	1459	0
466	2551	0
466	3725	0
466	4783	0
466	6688	0
466	6928	0
466	8721	0
467	468	0
467	1054	0
467	1386	0
467	1649	0
467	2261	0
467	3725	0
467	3726	0
467	3727	0
467	4088	0
467	7157	0
467	9586	0
467	11016	0
467	55509	0
467	55791	0
467	83540	0
467	84966	0
468	1050	0
468	1051	0
468	1052	0
468	1053	0
468	1054	0
468	1613	0
468	1649	0
468	2353	0
468	2354	0
468	2874	0
468	2963	0
468	3131	0
468	3725	0
468	4094	0
468	4779	0
468	4780	0
468	5432	0
468	7276	0
468	9568	0
468	9586	0
468	10538	0
468	11016	0
468	11219	0
468	23641	0
468	27185	0
468	29903	0
468	55037	0
468	55509	0
468	57761	0
468	58487	0
472	847	0
472	3014	0
472	3094	0
472	5591	0
472	5830	0
472	5884	0
472	5976	0
472	7013	0
472	7157	0
472	11200	0
473	1822	0
473	7205	0
475	538	0
475	540	0
476	1072	0
476	2146	0
476	5348	0
476	5595	0
476	53822	0
481	5348	0
481	53822	0
481	55791	0
482	58157	0
487	3667	0
487	5350	0
487	6588	0
487	8660	0
488	5350	0
488	6271	0
491	1739	0
491	1740	0
491	1742	0
491	9351	0
491	51248	0
493	805	0
493	1739	0
493	1740	0
493	1741	0
493	1742	0
493	8573	0
496	6804	0
498	91647	0
501	9400	0
506	5340	0
506	7414	0
506	10197	0
506	91647	0
509	771	0
509	896	0
509	1956	0
509	3698	0
509	4354	0
509	4709	0
509	5074	0
509	5764	0
509	10072	0
509	10574	0
509	23649	0
509	25791	0
509	25978	0
509	26152	0
509	51586	0
509	54857	0
509	56902	0
509	64219	0
509	84337	0
518	7920	0
527	4140	0
527	29956	0
529	534	0
529	2547	0
529	6654	0
529	9368	0
529	9550	0
529	51606	0
537	3039	0
538	1356	0
545	672	0
545	1108	0
545	4436	0
545	5371	0
545	11200	0
545	11277	0
545	63967	0
546	2146	0
546	5764	0
546	5775	0
546	51631	0
546	54462	0
546	57473	0
546	57562	0
547	28964	0
550	3672	0
550	3673	0
550	3674	0
550	3678	0
550	3684	0
550	3685	0
550	26994	0
551	552	0
551	553	0
551	554	0
551	5021	0
552	2869	0
552	5578	0
553	2869	0
554	2778	0
554	2869	0
558	2621	0
558	2885	0
558	3932	0
558	5296	0
558	6464	0
558	6714	0
563	3685	0
567	909	0
567	910	0
567	912	0
567	913	0
567	925	0
567	2217	0
567	3077	0
567	3105	0
567	3106	0
567	3107	0
567	3133	0
567	3135	0
567	7414	0
567	7917	0
567	10859	0
567	11098	0
